SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PRICE PER BED,PRICE PER SQUARE FOOT
MLS Listing,,Multi-Family (2-4 Unit),655 Cross St,Malden,MA,2148,649000.0,5,3.0,Malden,2296,2456.0,1900.0,37,283.0,,Active,,,http://www.redfin.com/MA/Malden/655-Cross-St-02148/home/11411340,MLS PIN,72198235,N,Y,42.4304352,-71.05429140000001,3245000.0,1490104000.0
MLS Listing,,Multi-Family (2-4 Unit),308-310 Water St,Quincy,MA,2169,799900.0,4,4.0,Quincy,3094,6468.0,1980.0,43,259.0,,Active,,,http://www.redfin.com/MA/Quincy/310-Water-St-02169/home/139915035,MLS PIN,72194756,N,Y,42.2413692,-71.0107555,3199600.0,2474890600.0
MLS Listing,,Multi-Family (2-4 Unit),21-21A Princess St,Wakefield,MA,1880,799900.0,4,3.5,Wakefield,3818,3536.0,1880.0,1,210.0,,Active,,,http://www.redfin.com/MA/Wakefield/21-Princess-St-01880/unit-21A/home/12428311,MLS PIN,72216414,N,Y,42.50385479999999,-71.0698318,3199600.0,3054018200.0
MLS Listing,,Multi-Family (2-4 Unit),155 Spruce St,Watertown,MA,2472,799900.0,4,3.0,Watertown,2693,5000.0,1925.0,2,297.0,,Active,,,http://www.redfin.com/MA/Watertown/155-Spruce-St-02472/home/11697796,MLS PIN,72215661,N,Y,42.3659771,-71.1675621,3199600.0,2154130700.0
MLS Listing,,Multi-Family (2-4 Unit),661 Cross St,Malden,MA,2148,639900.0,5,3.0,Malden,1902,2241.0,1900.0,18,336.0,,Active,,,http://www.redfin.com/MA/Malden/661-Cross-St-02148/home/11411346,MLS PIN,72207769,N,Y,42.430597999999996,-71.05433570000001,3199500.0,1217089800.0
MLS Listing,,Multi-Family (2-4 Unit),34 Bay St,Hull,MA,2045,399900.0,8,4.0,Sagamore Hill,2640,4187.0,1900.0,30,151.0,,Active,,,http://www.redfin.com/MA/Hull/34-Bay-St-02045/home/16366475,MLS PIN,72201980,N,Y,42.2722504,-70.86255849999999,3199200.0,1055736000.0
MLS Listing,,Multi-Family (2-4 Unit),420 Montello St,Brockton,MA,2301,399900.0,8,3.5,Brockton,2704,6621.0,1875.0,25,148.0,,Active,,,http://www.redfin.com/MA/Brockton/420-Montello-St-02301/home/16337445,MLS PIN,72204234,N,Y,42.077155299999994,-71.0169395,3199200.0,1081329600.0
MLS Listing,,Multi-Family (2-4 Unit),54 Crescent Ave,Malden,MA,2148,529900.0,6,2.0,Oak Grove,2873,5000.0,1865.0,13,184.0,,Active,,,http://www.redfin.com/MA/Malden/54-Crescent-Ave-02148/home/11393172,MLS PIN,72210146,N,Y,42.4320286,-71.0671783,3179400.0,1522402700.0
MLS Listing,,Multi-Family (2-4 Unit),27 W Tremlett,Boston,MA,2124,790000.0,4,3.0,Dorchester's Codman Square,1990,2500.0,2017.0,46,397.0,,Active,,,http://www.redfin.com/MA/Boston/27-W-Tremlett-St-02124/home/40001148,MLS PIN,72192855,N,Y,42.2944161,-71.07339549999999,3160000.0,1572100000.0
MLS Listing,,Multi-Family (2-4 Unit),17 Cottage St,Saugus,MA,1906,525000.0,6,3.0,Saugus,2762,5001.0,1910.0,5,190.0,,Active,,,http://www.redfin.com/MA/Saugus/17-Cottage-St-01906/home/8365509,MLS PIN,72214094,N,Y,42.4448576,-71.01154659999999,3150000.0,1450050000.0
MLS Listing,,Multi-Family (2-4 Unit),20 Wabon St,Boston,MA,2121,620000.0,5,2.5,Boston,2592,4577.0,1900.0,25,239.0,,Active,,,http://www.redfin.com/MA/Boston/20-Wabon-St-02121/home/9087608,MLS PIN,72204376,N,Y,42.314389500000004,-71.08592009999998,3100000.0,1607040000.0
