SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),10 Adams Ter,Boston,MA,02122,439000,2,2.0,Dorchester's Fields Corner,1392,1214,1905,1,315,,Active,,,http://www.redfin.com/MA/Boston/10-Adams-Ter-02122/home/9077927,MLS PIN,72216335,N,Y,42.29535,-71.0568291
MLS Listing,,Multi-Family (5+ Unit),373 - 375 Salem St,Malden,MA,02148,1780000,19,6.0,Maplewood,8510,4513,1900,1,209,,Active,,,http://www.redfin.com/MA/Malden/375-Salem-St-02148/home/11411439,MLS PIN,72216257,N,Y,42.4309479,-71.054828
MLS Listing,,Multi-Family (2-4 Unit),101 STEEPLE St,Revere,MA,02151,639000,6,3.0,Revere,2929,4500,1960,1,218,,Active,,,http://www.redfin.com/MA/Revere/101-Steeple-St-02151/home/9054627,MLS PIN,72216194,N,Y,42.4227687,-71.0126357
MLS Listing,,Multi-Family (2-4 Unit),81-83 orange St,Waltham,MA,02453,799900,8,3.0,Waltham,3384,11979,1890,2,236,,Active,August-21-2017 05:00 PM,August-21-2017 06:00 PM,http://www.redfin.com/MA/Waltham/83-Orange-St-02453/home/11681959,MLS PIN,72216138,N,Y,42.3634329,-71.2399473
MLS Listing,,Multi-Family (2-4 Unit),722 Highland Ave,Malden,MA,02148,599000,4,3.0,Malden,2013,7320,1880,2,298,,Active,August-22-2017 05:00 PM,August-22-2017 07:00 PM,http://www.redfin.com/MA/Malden/722-Highland-Ave-02148/home/11398266,MLS PIN,72216135,N,Y,42.435722,-71.085992
MLS Listing,,Multi-Family (2-4 Unit),292 Elm St,North Attleboro,MA,02760,275000,6,4.0,North Attleboro,2608,2608,1930,2,105,,Active,,,http://www.redfin.com/MA/North-Attleborough/292-Elm-St-02760/home/16057246,MLS PIN,72216128,N,Y,41.9759154,-71.3232628
MLS Listing,,Multi-Family (2-4 Unit),21 Pine Ave,Brockton,MA,02302,379900,5,3.0,Brockton,1623,6534,1900,2,234,,Active,,,http://www.redfin.com/MA/Brockton/21-Pine-Ave-02302/home/16320063,MLS PIN,72215974,N,Y,42.0685028,-71.0131116
MLS Listing,,Multi-Family (2-4 Unit),147 Springvale Ave,Everett,MA,02149,679900,5,2.0,Everett,2297,3184,1930,2,296,,Active,,,http://www.redfin.com/MA/Everett/147-Springvale-Ave-02149/home/8529278,MLS PIN,72215906,N,Y,42.411089,-71.034851
MLS Listing,,Multi-Family (2-4 Unit),26 Riverview Ave,Brockton,MA,02302,375000,8,3.0,Brockton,7187,7187,1900,2,52,,Active,,,http://www.redfin.com/MA/Brockton/26-Riverview-St-02302/home/16316888,MLS PIN,72215900,N,Y,42.0646718,-71.0090381
MLS Listing,,Multi-Family (2-4 Unit),17 Falmouth,Attleboro,MA,02703,249900,7,3.0,Attleboro,2145,3300,1910,2,117,,Active,,,http://www.redfin.com/MA/Attleboro/17-Falmouth-St-02703/home/15974756,MLS PIN,72215821,Y,Y,41.9455718,-71.2797529
MLS Listing,,Multi-Family (2-4 Unit),155 Spruce St,Watertown,MA,02472,799900,4,3.0,Watertown,2693,5000,1925,2,297,,Active,,,http://www.redfin.com/MA/Watertown/155-Spruce-St-02472/home/11697796,MLS PIN,72215661,N,Y,42.3659771,-71.1675621
MLS Listing,,Multi-Family (2-4 Unit),118 Elm St,Everett,MA,02149,599000,5,2.0,Everett,2154,3350,1900,3,278,,Active,August-21-2017 05:00 PM,August-21-2017 07:00 PM,http://www.redfin.com/MA/Everett/118-Elm-St-02149/home/8530760,MLS PIN,72215618,N,Y,42.4134733,-71.042117
MLS Listing,,Multi-Family (2-4 Unit),16 Surrey St,Cambridge,MA,02138,1895000,5,4.0,Riverside,2663,2579,1894,3,712,,Active,August-21-2017 11:30 AM,August-21-2017 01:00 PM,http://www.redfin.com/MA/Cambridge/16-Surrey-St-02138/home/11569578,MLS PIN,72215593,N,Y,42.368581,-71.114105
MLS Listing,,Multi-Family (2-4 Unit),65 Hollis St,Weymouth,MA,02190,429900,3,2.0,Weymouth,1568,25700,1885,3,274,,Active,,,http://www.redfin.com/MA/Weymouth/65-Hollis-St-02190/home/11527205,MLS PIN,72215584,N,Y,42.168975,-70.9621091
MLS Listing,,Multi-Family (5+ Unit),776-782 Broad St,Weymouth,MA,02189,1149000,10,5.0,Weymouth,5947,6229,1900,3,193,,Active,,,http://www.redfin.com/MA/Weymouth/776-Broad-St-02189/home/143323277,MLS PIN,72215521,N,Y,42.216365,-70.926765
MLS Listing,,Multi-Family (2-4 Unit),111 Falcon St,Boston,MA,02128,1200000,8,3.0,East Boston,2828,7086,1880,3,424,,Active,,,http://www.redfin.com/MA/Boston/111-Falcon-St-02128/home/9113553,MLS PIN,72215519,N,Y,42.3818197,-71.0347815
MLS Listing,,Multi-Family (2-4 Unit),43 Chester St,Taunton,MA,02780,299900,6,2.0,Taunton,2524,23087,1890,3,119,,Active,,,http://www.redfin.com/MA/Taunton/43-Chester-St-02780/home/16095721,MLS PIN,72215499,N,Y,41.9155213,-71.1030388
MLS Listing,,Multi-Family (2-4 Unit),79-81 Gardiner St,Lynn,MA,01905,659000,6,3.0,Lynn,3582,8946,1910,3,184,,Active,,,http://www.redfin.com/MA/Lynn/81-Gardiner-St-01905/home/11552755,MLS PIN,72215462,N,Y,42.4665771,-70.9772257
MLS Listing,,Multi-Family (2-4 Unit),50-52 Addison Ave,Lynn,MA,01902,519000,4,2.0,Lynn,2442,4050,1910,3,213,,Active,,,http://www.redfin.com/MA/Lynn/52-Addison-Ave-01902/home/113252193,MLS PIN,72215359,N,Y,42.481967,-70.9350445
MLS Listing,,Multi-Family (2-4 Unit),131-133 Empire St,Lynn,MA,01902,439900,6,3.0,Lynn,2594,4583,1900,3,170,,Active,,,http://www.redfin.com/MA/Lynn/131-Empire-St-01902/home/11561623,MLS PIN,72215333,N,Y,42.4757729,-70.931678
MLS Listing,,Multi-Family (2-4 Unit),45-47 Bowdoin St,Medford,MA,02155,989000,5,2.0,Medford,2444,3520,1920,3,405,,Active,,,http://www.redfin.com/MA/Medford/47-Bowdoin-St-02155/home/143320291,MLS PIN,72215330,N,Y,42.4063933,-71.110732
MLS Listing,,Multi-Family (2-4 Unit),15-17 Melville Rd,Somerville,MA,02145,839900,5,2.0,Somerville,2283,4050,1920,3,368,,Active,August-22-2017 06:00 PM,August-22-2017 06:30 PM,http://www.redfin.com/MA/Somerville/17-Melville-Rd-02145/home/143320188,MLS PIN,72215315,N,Y,42.3984817,-71.0860796
